Iteration: 1, test error: 0.0445833, cv error: 0.05, avg tree size: 7, num trees: 1
Iteration: 2, test error: 0.0445833, cv error: 0.05, avg tree size: 7, num trees: 1
Iteration: 3, test error: 0.0270833, cv error: 0.0354167, avg tree size: 7, num trees: 2
Iteration: 4, test error: 0.0270833, cv error: 0.0354167, avg tree size: 7, num trees: 2
Iteration: 5, test error: 0.0270833, cv error: 0.0354167, avg tree size: 7, num trees: 2
Iteration: 6, test error: 0.0270833, cv error: 0.0354167, avg tree size: 7, num trees: 2
Iteration: 7, test error: 0.0254167, cv error: 0.03125, avg tree size: 7, num trees: 3
Iteration: 8, test error: 0.0270833, cv error: 0.0354167, avg tree size: 7, num trees: 3
Iteration: 9, test error: 0.0220833, cv error: 0.0304167, avg tree size: 7, num trees: 4
Iteration: 10, test error: 0.0220833, cv error: 0.0304167, avg tree size: 7, num trees: 4
Iteration: 11, test error: 0.0229167, cv error: 0.0275, avg tree size: 7, num trees: 5
Iteration: 12, test error: 0.0233333, cv error: 0.03125, avg tree size: 7, num trees: 5
Iteration: 13, test error: 0.0204167, cv error: 0.0254167, avg tree size: 7, num trees: 6
Iteration: 14, test error: 0.0204167, cv error: 0.0254167, avg tree size: 7, num trees: 6
Iteration: 15, test error: 0.0195833, cv error: 0.0254167, avg tree size: 7, num trees: 6
Iteration: 16, test error: 0.0195833, cv error: 0.0254167, avg tree size: 7, num trees: 6
Iteration: 17, test error: 0.0191667, cv error: 0.02375, avg tree size: 7, num trees: 7
Iteration: 18, test error: 0.01875, cv error: 0.0233333, avg tree size: 7, num trees: 7
Iteration: 19, test error: 0.0175, cv error: 0.0245833, avg tree size: 7, num trees: 8
Iteration: 20, test error: 0.0175, cv error: 0.0241667, avg tree size: 7, num trees: 8
Iteration: 21, test error: 0.0183333, cv error: 0.02125, avg tree size: 7, num trees: 8
Iteration: 22, test error: 0.0175, cv error: 0.0204167, avg tree size: 7, num trees: 8
Iteration: 23, test error: 0.0145833, cv error: 0.02125, avg tree size: 7, num trees: 9
Iteration: 24, test error: 0.0166667, cv error: 0.0216667, avg tree size: 7, num trees: 9
Iteration: 25, test error: 0.015, cv error: 0.0204167, avg tree size: 7, num trees: 10
Iteration: 26, test error: 0.015, cv error: 0.0204167, avg tree size: 7, num trees: 10
Iteration: 27, test error: 0.015, cv error: 0.0195833, avg tree size: 7, num trees: 10
Iteration: 28, test error: 0.0158333, cv error: 0.0208333, avg tree size: 7, num trees: 10
Iteration: 29, test error: 0.0154167, cv error: 0.0216667, avg tree size: 7, num trees: 11
Iteration: 30, test error: 0.0133333, cv error: 0.02125, avg tree size: 7, num trees: 11
