Iteration: 1, test error: 0.0383333, cv error: 0.04625, avg tree size: 7, num trees: 1
Iteration: 2, test error: 0.0383333, cv error: 0.04625, avg tree size: 7, num trees: 1
Iteration: 3, test error: 0.0520833, cv error: 0.0516667, avg tree size: 7, num trees: 2
Iteration: 4, test error: 0.0383333, cv error: 0.04625, avg tree size: 7, num trees: 2
Iteration: 5, test error: 0.0345833, cv error: 0.0441667, avg tree size: 7, num trees: 3
Iteration: 6, test error: 0.0275, cv error: 0.0366667, avg tree size: 7, num trees: 3
Iteration: 7, test error: 0.02125, cv error: 0.0308333, avg tree size: 7, num trees: 4
Iteration: 8, test error: 0.0270833, cv error: 0.0366667, avg tree size: 7, num trees: 3
Iteration: 9, test error: 0.02125, cv error: 0.02875, avg tree size: 7, num trees: 3
Iteration: 10, test error: 0.02125, cv error: 0.02875, avg tree size: 7, num trees: 3
Iteration: 11, test error: 0.0195833, cv error: 0.0291667, avg tree size: 7, num trees: 4
Iteration: 12, test error: 0.0195833, cv error: 0.0291667, avg tree size: 7, num trees: 4
Iteration: 13, test error: 0.02125, cv error: 0.0275, avg tree size: 7, num trees: 5
Iteration: 14, test error: 0.02125, cv error: 0.0275, avg tree size: 7, num trees: 5
Iteration: 15, test error: 0.0175, cv error: 0.0258333, avg tree size: 7, num trees: 6
Iteration: 16, test error: 0.0195833, cv error: 0.0275, avg tree size: 7, num trees: 6
Iteration: 17, test error: 0.0179167, cv error: 0.02625, avg tree size: 7, num trees: 6
Iteration: 18, test error: 0.0179167, cv error: 0.02625, avg tree size: 7, num trees: 6
Iteration: 19, test error: 0.0183333, cv error: 0.0216667, avg tree size: 7, num trees: 7
Iteration: 20, test error: 0.0179167, cv error: 0.0195833, avg tree size: 7, num trees: 7
Iteration: 21, test error: 0.0154167, cv error: 0.02125, avg tree size: 7, num trees: 8
Iteration: 22, test error: 0.0154167, cv error: 0.02125, avg tree size: 7, num trees: 8
Iteration: 23, test error: 0.0154167, cv error: 0.02125, avg tree size: 7, num trees: 8
Iteration: 24, test error: 0.0154167, cv error: 0.02125, avg tree size: 7, num trees: 8
Iteration: 25, test error: 0.0154167, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 26, test error: 0.0154167, cv error: 0.0195833, avg tree size: 7, num trees: 9
Iteration: 27, test error: 0.0154167, cv error: 0.0220833, avg tree size: 7, num trees: 9
Iteration: 28, test error: 0.0141667, cv error: 0.0216667, avg tree size: 7, num trees: 9
Iteration: 29, test error: 0.0154167, cv error: 0.0204167, avg tree size: 7, num trees: 9
Iteration: 30, test error: 0.0154167, cv error: 0.0204167, avg tree size: 7, num trees: 9
Iteration: 31, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 32, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 33, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 34, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 35, test error: 0.0145833, cv error: 0.0204167, avg tree size: 7, num trees: 9
Iteration: 36, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 37, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 38, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 39, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 40, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 41, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 42, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 43, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 44, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 45, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 46, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 47, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 48, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 49, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
Iteration: 50, test error: 0.0145833, cv error: 0.02, avg tree size: 7, num trees: 9
