Iteration: 1, test error: 0.0245833, cv error: 0.0325, avg tree size: 13, num trees: 1
Iteration: 2, test error: 0.0245833, cv error: 0.0325, avg tree size: 13, num trees: 1
Iteration: 3, test error: 0.0225, cv error: 0.0295833, avg tree size: 13, num trees: 2
Iteration: 4, test error: 0.0225, cv error: 0.0295833, avg tree size: 13, num trees: 2
Iteration: 5, test error: 0.0245833, cv error: 0.02625, avg tree size: 13.6667, num trees: 3
Iteration: 6, test error: 0.01375, cv error: 0.0166667, avg tree size: 13.6667, num trees: 3
Iteration: 7, test error: 0.0154167, cv error: 0.0233333, avg tree size: 13.5, num trees: 4
Iteration: 8, test error: 0.0145833, cv error: 0.0225, avg tree size: 13.5, num trees: 4
Iteration: 9, test error: 0.0125, cv error: 0.0195833, avg tree size: 13.4, num trees: 5
Iteration: 10, test error: 0.0104167, cv error: 0.01875, avg tree size: 13.4, num trees: 5
Iteration: 11, test error: 0.0125, cv error: 0.01875, avg tree size: 13, num trees: 6
Iteration: 12, test error: 0.0120833, cv error: 0.0195833, avg tree size: 13, num trees: 6
Iteration: 13, test error: 0.01, cv error: 0.01375, avg tree size: 13, num trees: 7
Iteration: 14, test error: 0.01, cv error: 0.0141667, avg tree size: 13, num trees: 7
Iteration: 15, test error: 0.0104167, cv error: 0.0125, avg tree size: 13, num trees: 8
Iteration: 16, test error: 0.00958333, cv error: 0.01375, avg tree size: 13, num trees: 8
Iteration: 17, test error: 0.00958333, cv error: 0.0120833, avg tree size: 13, num trees: 9
Iteration: 18, test error: 0.00958333, cv error: 0.0125, avg tree size: 13, num trees: 9
Iteration: 19, test error: 0.00916667, cv error: 0.0129167, avg tree size: 13.2, num trees: 10
Iteration: 20, test error: 0.01, cv error: 0.0125, avg tree size: 13.2, num trees: 10
Iteration: 21, test error: 0.00958333, cv error: 0.0133333, avg tree size: 13, num trees: 11
Iteration: 22, test error: 0.00958333, cv error: 0.01375, avg tree size: 13, num trees: 11
Iteration: 23, test error: 0.00875, cv error: 0.0129167, avg tree size: 13, num trees: 11
Iteration: 24, test error: 0.00916667, cv error: 0.0129167, avg tree size: 13, num trees: 11
Iteration: 25, test error: 0.00958333, cv error: 0.0133333, avg tree size: 13, num trees: 11
Iteration: 26, test error: 0.00958333, cv error: 0.0133333, avg tree size: 13, num trees: 11
Iteration: 27, test error: 0.00875, cv error: 0.0129167, avg tree size: 13, num trees: 12
Iteration: 28, test error: 0.00833333, cv error: 0.0120833, avg tree size: 13, num trees: 12
Iteration: 29, test error: 0.00791667, cv error: 0.0116667, avg tree size: 13, num trees: 12
Iteration: 30, test error: 0.00833333, cv error: 0.0116667, avg tree size: 13, num trees: 12
Iteration: 31, test error: 0.00791667, cv error: 0.0104167, avg tree size: 13, num trees: 12
Iteration: 32, test error: 0.00791667, cv error: 0.0104167, avg tree size: 13, num trees: 11
Iteration: 33, test error: 0.00833333, cv error: 0.0104167, avg tree size: 13, num trees: 11
Iteration: 34, test error: 0.00791667, cv error: 0.0104167, avg tree size: 13.2, num trees: 10
Iteration: 35, test error: 0.00833333, cv error: 0.0104167, avg tree size: 13.2, num trees: 10
Iteration: 36, test error: 0.00833333, cv error: 0.0104167, avg tree size: 13.2, num trees: 10
Iteration: 37, test error: 0.00791667, cv error: 0.0104167, avg tree size: 13.2, num trees: 10
Iteration: 38, test error: 0.00791667, cv error: 0.0104167, avg tree size: 13.2, num trees: 10
Iteration: 39, test error: 0.00791667, cv error: 0.0104167, avg tree size: 13.2, num trees: 10
Iteration: 40, test error: 0.00791667, cv error: 0.0104167, avg tree size: 13.2, num trees: 10
