Iteration: 1, test error: 0.0179167, cv error: 0.0270833, avg tree size: 15, num trees: 1
Iteration: 2, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 3, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 4, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 5, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 6, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 7, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 8, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 9, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 10, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 11, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 12, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 13, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 14, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 15, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 16, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 17, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 18, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 19, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 20, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 21, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 22, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 23, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 24, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 25, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 26, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 27, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 28, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 29, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 30, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 31, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 32, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 33, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 34, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 35, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 36, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 37, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 38, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 39, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
Iteration: 40, test error: 0.51875, cv error: 0.515833, avg tree size: -nan, num trees: 0
