Iteration: 1, test error: 0.0241667, cv error: 0.02375, avg tree size: 15, num trees: 1
Iteration: 2, test error: 0.0241667, cv error: 0.02375, avg tree size: 14, num trees: 2
Iteration: 3, test error: 0.0241667, cv error: 0.02375, avg tree size: 13.6667, num trees: 3
Iteration: 4, test error: 0.0154167, cv error: 0.0179167, avg tree size: 14, num trees: 4
Iteration: 5, test error: 0.0170833, cv error: 0.0183333, avg tree size: 14.2, num trees: 5
Iteration: 6, test error: 0.00916667, cv error: 0.00875, avg tree size: 14.3333, num trees: 6
Iteration: 7, test error: 0.0125, cv error: 0.0116667, avg tree size: 14.4286, num trees: 7
Iteration: 8, test error: 0.00541667, cv error: 0.0075, avg tree size: 14.5, num trees: 8
Iteration: 9, test error: 0.00541667, cv error: 0.00708333, avg tree size: 14.5556, num trees: 9
Iteration: 10, test error: 0.00416667, cv error: 0.00416667, avg tree size: 14.6, num trees: 10
Iteration: 11, test error: 0.00375, cv error: 0.005, avg tree size: 14.2727, num trees: 11
Iteration: 12, test error: 0.00291667, cv error: 0.00583333, avg tree size: 14.3333, num trees: 12
Iteration: 13, test error: 0.00333333, cv error: 0.00458333, avg tree size: 14.3846, num trees: 13
Iteration: 14, test error: 0.00291667, cv error: 0.00458333, avg tree size: 14, num trees: 14
Iteration: 15, test error: 0.00291667, cv error: 0.00458333, avg tree size: 14.0667, num trees: 15
Iteration: 16, test error: 0.00333333, cv error: 0.00375, avg tree size: 14.125, num trees: 16
Iteration: 17, test error: 0.00291667, cv error: 0.00416667, avg tree size: 14.1765, num trees: 17
Iteration: 18, test error: 0.00291667, cv error: 0.00375, avg tree size: 14.2222, num trees: 18
Iteration: 19, test error: 0.00291667, cv error: 0.0025, avg tree size: 14.2632, num trees: 19
Iteration: 20, test error: 0.0025, cv error: 0.00291667, avg tree size: 14.3, num trees: 20
Iteration: 21, test error: 0.00208333, cv error: 0.00333333, avg tree size: 14.3333, num trees: 21
Iteration: 22, test error: 0.00166667, cv error: 0.00333333, avg tree size: 14.3636, num trees: 22
Iteration: 23, test error: 0.0025, cv error: 0.00333333, avg tree size: 14.3913, num trees: 23
Iteration: 24, test error: 0.0025, cv error: 0.00291667, avg tree size: 14.4167, num trees: 24
Iteration: 25, test error: 0.00208333, cv error: 0.00333333, avg tree size: 14.44, num trees: 25
Iteration: 26, test error: 0.00333333, cv error: 0.00375, avg tree size: 14.4615, num trees: 26
Iteration: 27, test error: 0.00291667, cv error: 0.00333333, avg tree size: 14.4815, num trees: 27
Iteration: 28, test error: 0.00291667, cv error: 0.00333333, avg tree size: 14.5, num trees: 28
Iteration: 29, test error: 0.00208333, cv error: 0.00375, avg tree size: 14.5172, num trees: 29
Iteration: 30, test error: 0.0025, cv error: 0.00333333, avg tree size: 14.3333, num trees: 30
Iteration: 31, test error: 0.00208333, cv error: 0.00375, avg tree size: 14.3333, num trees: 30
Iteration: 32, test error: 0.0025, cv error: 0.00291667, avg tree size: 14.2903, num trees: 31
Iteration: 33, test error: 0.0025, cv error: 0.00333333, avg tree size: 14.3125, num trees: 32
Iteration: 34, test error: 0.0025, cv error: 0.00333333, avg tree size: 14.3333, num trees: 33
Iteration: 35, test error: 0.00166667, cv error: 0.00291667, avg tree size: 14.2941, num trees: 34
Iteration: 36, test error: 0.0025, cv error: 0.00333333, avg tree size: 14.3143, num trees: 35
Iteration: 37, test error: 0.00166667, cv error: 0.00291667, avg tree size: 14.3333, num trees: 36
Iteration: 38, test error: 0.0025, cv error: 0.00333333, avg tree size: 14.3514, num trees: 37
Iteration: 39, test error: 0.00166667, cv error: 0.00291667, avg tree size: 14.3684, num trees: 38
Iteration: 40, test error: 0.00166667, cv error: 0.0025, avg tree size: 14.3846, num trees: 39
