Iteration: 1, test error: 0.02375, cv error: 0.03, avg tree size: 15, num trees: 1
Iteration: 2, test error: 0.02375, cv error: 0.03, avg tree size: 15, num trees: 1
Iteration: 3, test error: 0.02375, cv error: 0.03, avg tree size: 15, num trees: 1
Iteration: 4, test error: 0.02375, cv error: 0.03, avg tree size: 15, num trees: 1
Iteration: 5, test error: 0.0279167, cv error: 0.0283333, avg tree size: 13, num trees: 2
Iteration: 6, test error: 0.02375, cv error: 0.03, avg tree size: 13, num trees: 2
Iteration: 7, test error: 0.02, cv error: 0.0216667, avg tree size: 13.6667, num trees: 3
Iteration: 8, test error: 0.02375, cv error: 0.03, avg tree size: 13.6667, num trees: 3
Iteration: 9, test error: 0.0195833, cv error: 0.01875, avg tree size: 13.5, num trees: 4
Iteration: 10, test error: 0.0179167, cv error: 0.02125, avg tree size: 13.5, num trees: 4
Iteration: 11, test error: 0.0141667, cv error: 0.015, avg tree size: 12.2, num trees: 5
Iteration: 12, test error: 0.0183333, cv error: 0.0216667, avg tree size: 12.2, num trees: 5
Iteration: 13, test error: 0.01375, cv error: 0.0141667, avg tree size: 12.3333, num trees: 6
Iteration: 14, test error: 0.0133333, cv error: 0.0129167, avg tree size: 12.3333, num trees: 6
Iteration: 15, test error: 0.0104167, cv error: 0.0108333, avg tree size: 12.7143, num trees: 7
Iteration: 16, test error: 0.01, cv error: 0.0116667, avg tree size: 12.7143, num trees: 7
Iteration: 17, test error: 0.01, cv error: 0.0108333, avg tree size: 12.75, num trees: 8
Iteration: 18, test error: 0.00958333, cv error: 0.01, avg tree size: 12.75, num trees: 8
Iteration: 19, test error: 0.0116667, cv error: 0.01375, avg tree size: 12.75, num trees: 8
Iteration: 20, test error: 0.01, cv error: 0.01, avg tree size: 12.75, num trees: 8
Iteration: 21, test error: 0.00958333, cv error: 0.01, avg tree size: 12.7778, num trees: 9
Iteration: 22, test error: 0.00916667, cv error: 0.01, avg tree size: 12.7778, num trees: 9
